family,severity_index,level,auc_effect_mean_pp,auc_effect_std_pp
jpeg_quality,1,95.0,-0.7867965060708415,0.1871837137042709
jpeg_quality,2,75.0,-0.6061285712933998,0.22240042869909
jpeg_quality,3,55.0,-0.5926336011507679,0.20822044244020377
jpeg_quality,4,35.0,-0.648865797916128,0.20002504526723158
jpeg_quality,5,20.0,-0.49357900614182365,0.17879381850683296
blur_sigma,1,0.5,-0.826524335424772,0.166739657204373
blur_sigma,2,1.0,-0.6158759901200886,0.06884621721875837
blur_sigma,3,1.5,-0.10362547199273357,0.1021016787967031
blur_sigma,4,2.0,0.5436977732352855,0.2172005853372412
blur_sigma,5,3.0,1.2987441917686378,0.2407906351332665
noise_std,1,0.01,-0.6968552744892054,0.2300019496368269
noise_std,2,0.02,-0.3445570602541877,0.31018312677639565
noise_std,3,0.04,1.1329718271205362,0.4430819576361378
noise_std,4,0.06,3.0341348929203558,0.5043961489281364
noise_std,5,0.08,4.6833603043465954,0.4322633098392993
resize_scale,1,0.9,-0.7821593844930826,0.12242693261407432
resize_scale,2,0.75,-0.688820751592234,0.08098408123408908
resize_scale,3,0.5,-0.3350083752093817,0.05937922729520496
resize_scale,4,0.35,0.08388458299026791,0.1606187491370382
resize_scale,5,0.25,0.6732911260634763,0.3281411072442771
crop_fraction,1,0.95,-0.8509875176258156,0.19075663234837623
crop_fraction,2,0.9,-1.0126621809612952,0.2800766670931475
crop_fraction,3,0.8,-1.0492670508853164,0.24268666310284717
crop_fraction,4,0.7,-0.8650219080335771,0.229452055500101
crop_fraction,5,0.6,-0.43193367969791563,0.5138534830955829
